name,country,city,website,programs,tuition_min,tuition_max,tuition_currency,notes
Arizona State University (Kaplan),USA,Arizona,https://www.asu.edu,,,,Provider: Kaplan.,
Auckland University of Technology (AUT),New Zealand,Auckland,https://www.aut.ac.nz,,,,Also known as IUT.,
Audencia Business School,France,Nantes,https://www.audencia.com,,,,,
BAU International University,Turkey,Istanbul,https://www.bau.edu.tr,,,,,
BHMS Business and Hotel Management School,Switzerland,Lucerne,https://www.bhms.ch,,,,,
Cascadia College,USA,Bothell,https://www.cascadia.edu,,,,Near Seattle Washington state.,
Colorado State University (INTO),USA,Colorado,https://www.colostate.edu,,,,Provider: INTO.,
Curtin University Singapore (Navitas),Singapore,Singapore,https://www.curtin.edu.sg,,,,Provider: Navitas.,
DVC Diablo Valley College,USA,California,https://www.dvc.edu,,,,3 colleges in California.,
Douglas College,Canada,Vancouver,https://www.douglascollege.ca,,,,,
Drew University (INTO),USA,New Jersey,https://www.drew.edu,,,,Provider: INTO.,
Durham College,Canada,Oshawa,https://www.durhamcollege.ca,,,,,
EKA University of Applied Sciences,Latvia,Riga,https://www.eka.edu.lv,,,,,
EU Business School Barcelona,Spain,Barcelona,https://www.euruni.edu,,,,Degree programs available.,
EU Business School Geneva,Switzerland,Geneva,https://www.euruni.edu,,,,Degree programs available.,
EU Business School Munich,Germany,Munich,https://www.euruni.edu/en/Campuses/Munich.html,,,,,
European University of Lefke,Cyprus,Lefke,https://www.eul.edu.tr,,,,,
Fresenius University,Germany,Various,https://www.hs-fresenius.de,,,,,
George Brown College,Canada,Toronto,https://www.georgebrown.ca,,,,,
George Mason University (INTO),USA,Virginia,https://www.gmu.edu,,,,Provider: INTO.,
Georgian College,Canada,Barrie,https://www.georgiancollege.ca,,,,,
Heriot-Watt University Dubai,UAE,Dubai,https://www.hw.ac.uk/dubai,,,,,
Hispania School,Spain,Barcelona,https://www.hispania.org,,,,Language school.,
IBS Budapest,Hungary,Budapest,https://www.ibs-b.hu,,,,,
IU International University of Applied Sciences,Germany,Various,https://www.iu.org,,,,Formerly IUBH. Online and on-campus programs.,
James Cook University Singapore,Singapore,Singapore,https://www.jcu.edu.sg,,,,,
KUAS Kyoto University of Art and Design,Japan,Kyoto,https://www.kuas.ac.jp,,,,,
Kedge Business School,France,Bordeaux,https://www.kedge.edu,,,,,
Lancaster University Germany (Navitas),Germany,Leipzig,https://www.lancaster.ac.uk/germany,,,,Provider: Navitas.,
Langara College,Canada,Vancouver,https://www.langara.ca,,,,,
Louisiana State University (Shorelight),USA,Baton Rouge,https://www.lsu.edu,,,,Provider: Shorelight.,
Macromedia University,Germany,Munich,https://www.macromedia-fachhochschule.de,,,,,
Mercy College New York (Oxford International),USA,New York,https://www.mercy.edu,,,,Provider: Oxford International.,
New York Film Academy,USA,New York,https://www.nyfa.edu,,,,Direct admissions.,
Niagara College,Canada,Niagara,https://www.niagaracollege.ca,,,,,
Oregon State University (INTO),USA,Oregon,https://oregonstate.edu,,,,Provider: INTO.,
Pace University (Kaplan),USA,New York,https://www.pace.edu,,,,Provider: Kaplan. Pathway program.,
Queens College (Navitas),USA,New York,https://www.qc.cuny.edu,,,,Provider: Navitas.,
SAIT Alberta (Kaplan),Canada,Calgary,https://www.sait.ca,,,,Provider: Kaplan.,
SRH University,Germany,Heidelberg,https://www.srh-university.com,,,,,
Saint-Lawrence College,Canada,Kingston,https://www.sl.on.ca,,,,,
San Francisco State University (Oxford International),USA,San Francisco,https://www.sfsu.edu,,,,Provider: Oxford International Pathway.,
San Jose City College,USA,San Jose,https://www.sjcc.edu,,,,Near San Francisco.,
Simmons University (Kaplan),USA,Boston,https://www.simmons.edu,,,,Provider: Kaplan.,
Suffolk University (INTO),USA,Boston,https://www.suffolk.edu,,,,Provider: INTO.,
Sunway University,Malaysia,Kuala Lumpur,https://www.sunway.edu.my,,,,,
Swiss Education Group,Switzerland,Various,https://www.swisseducation.com,,,,,
TED University,Turkey,Ankara,https://www.tedu.edu.tr,,,,,
TSI Transport and Telecommunication Institute,Latvia,Riga,https://www.tsi.lv,,,,,
Texas State University,USA,San Marcos,https://www.txstate.edu,,,,Direct admissions.,
Thompson Rivers University,Canada,Kamloops,https://www.tru.ca,,,,,
University of Illinois Chicago (Shorelight),USA,Chicago,https://www.uic.edu,,,,Provider: Shorelight.,
University of North Florida,USA,Jacksonville,https://www.unf.edu,,,,Direct admissions.,
University of Windsor,Canada,Windsor,https://www.uwindsor.ca,,,,,
University of Wollongong Dubai,UAE,Dubai,https://www.uowdubai.ac.ae,,,,,
Up Education New Zealand,New Zealand,Auckland,https://www.up.education,,,,,
Valencia College,USA,Orlando,https://www.valenciacollege.edu,,,,,
Vilnius Gediminas Technical University,Lithuania,Vilnius,https://www.vilniustech.lt,,,,Also known as VILNIUS TECH.,
Webster University,USA,Missouri,https://www.webster.edu,,,,Direct admissions.,
Xi'an Jiaotong-Liverpool University,China,Suzhou,https://www.xjtlu.edu.cn,,,,,
Yasar University,Turkey,Izmir,https://www.yasar.edu.tr,,,,,
